Num,Timestamp,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle,Robot_ProtectiveStop,grip_lost,avg_current,avg_temperature,avg_speed
1,2022-10-26 08:17:21.847000+00:00,0.109627604484558,27.875,-2.02466869354248,29.375,-1.5314415693283,29.375,-0.998570203781127,32.125,-0.0625398382544517,32.25,-0.152622118592262,32.0,0.295565098524093,-0.000489755475427955,0.00131019437685608,-0.132835566997528,-0.00747852865606546,-0.152962237596511,0.0827318429946899,1,0,False,-0.7767024698356771,30.5,0.000518200695902781
2,2022-10-26 08:17:22.852000+00:00,0.595605194568634,27.875,-2.27845644950866,29.3125,-0.866556406021118,29.4375,-0.206096932291984,32.1875,-1.0627623796463,32.25,-0.260763853788375,32.0,-7.39148515616262e-30,-0.000303650216665118,0.00218513747677207,0.00166822713799774,-0.000766827317420393,0.000416901602875441,0.50589495897293,1,0,False,-0.6798384711146338,30.510416666666668,0.0005332981139266233
3,2022-10-26 08:17:23.857000+00:00,-0.229473799467086,27.875,-2.80040836334228,29.3125,-2.3043360710144,29.4375,-0.351499497890472,32.125,-0.668869018554687,32.3125,0.0390712767839431,32.0625,0.136938601732254,0.00779462233185768,-2.53587412834167,0.379866957664489,0.000454562221420928,-0.496855854988098,0.0794200301170349,1,0,False,-1.052585912247497,30.520833333333332,-0.41794587322995774
4,2022-10-26 08:17:24.863000+00:00,0.065053179860115,27.875,-3.68776774406433,29.3125,-1.2176524400711,29.4375,-1.20911467075347,32.125,-0.81975507736206,32.25,0.153902933001518,32.0,-0.0903003215789794,-0.00491136731579899,-0.00909601431339979,-0.384196132421493,0.0184108391404151,0.425559103488922,0.0833253860473632,1,0,False,-1.1192223032315545,30.5,-0.007422315500055676
5,2022-10-26 08:17:25.877000+00:00,0.884140253067016,27.875,-2.93883037567138,29.375,-1.79407620429992,29.4375,-2.35647106170654,32.1875,-0.966426730155944,32.3125,0.178997665643692,32.0,0.126808792352676,0.00556694203987717,0.00113834510557353,-0.353284031152725,0.014993798919022,0.180988609790802,0.0863787531852722,1,0,False,-1.165444408853846,30.53125,-0.003964590490795714
6,2022-10-26 08:17:26.885000+00:00,0.118960559368133,27.8125,-2.16254186630249,29.375,-1.21177947521209,29.4375,-0.481833845376968,32.1875,0.0153181906789541,32.3125,0.0648444592952728,32.0625,-4.63951073470525e-05,9.26570428418926e-05,0.000262410816503688,0.00217078370042145,0.000264706701273098,-0.00247016106732189,0.188309669494628,1,0,False,-0.6095053295915313,30.53125,4.566701439519767e-05
7,2022-10-26 08:17:27.901000+00:00,0.0861379131674766,27.875,-1.7576470375061,29.375,-0.960633754730224,29.4375,-0.488379955291748,32.1875,0.00650572963058948,32.3125,0.0532493405044078,32.0625,0.0,0.0,0.0,0.0,0.0,1.12103877145985e-44,0.0851918458938598,1,0,False,-0.5101279607042664,30.541666666666668,1.8683979524330834e-45
8,2022-10-26 08:17:28.903000+00:00,0.0756569951772689,27.875,-1.83646476268768,29.375,-0.961322426795959,29.4375,-0.512540757656097,32.1875,-0.0218445193022489,32.3125,0.0392284430563449,32.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0870583653450012,1,0,False,-0.5362145047013952,30.541666666666668,0.0
9,2022-10-26 08:17:29.905000+00:00,-0.186848357319831,27.875,-2.56373834609985,29.375,-1.41893362998962,29.4375,-0.262015104293823,32.1875,0.0999419391155242,32.3125,-0.173527032136917,32.0625,-0.166003569960594,0.00240865373052656,-0.0154825886711478,0.350063204765319,-0.00998554099351167,-0.192710176110267,0.0857853293418884,1,0,False,-0.7508534217874194,30.541666666666668,-0.005285002873279154
10,2022-10-26 08:17:30.909000+00:00,-0.158912256360054,27.875,-1.75077736377716,29.375,-1.97940039634704,29.4375,-0.184549927711486,32.1875,0.0791570618748664,32.3125,-0.209540769457817,32.0625,0.0983230397105217,0.0049957507289946,-0.016995683312416,0.496241122484207,-0.0173527542501688,-0.588686048984527,0.0850195884704589,1,0,False,-0.7006706086297818,30.541666666666668,-0.003912428937231427
11,2022-10-26 08:17:31.909000+00:00,1.01408648490905,27.875,-1.87529575824737,29.375,-0.549352586269378,29.4375,-0.782304286956787,32.1875,-0.15929028391838,32.3125,-0.0953236371278762,32.125,0.00255903229117393,-0.00655909907072782,2.59407114982605,-0.579771041870117,0.0,0.642610073089599,0.0788266062736511,1,0,False,-0.4079133446017902,30.552083333333332,0.44215168571099633
12,2022-10-26 08:17:32.924000+00:00,-0.401867747306823,27.875,-3.17460227012634,29.375,-1.05097723007202,29.5,-0.39667928218841497,32.1875,-0.114071279764175,32.3125,0.209455430507659,32.0625,-0.238060280680656,-0.0301450155675411,-0.0327993892133235,0.232323542237281,0.0641457885503768,0.0149858091026544,0.093337595462799,1,0,False,-0.8214570631583523,30.552083333333332,0.0017417424047985993
13,2022-10-26 08:17:33.929000+00:00,-0.888249158859252,27.875,-1.72417414188385,29.375,-1.74169266223907,29.5,-0.0989516675472259,32.1875,0.279280871152877,32.375,0.0436390526592731,32.0625,0.102189674973487,0.145653635263443,-2.5245521068573,0.393293470144271,0.0,-0.488444119691848,0.0826457738876342,1,0,False,-0.6883579511195413,30.5625,-0.3953099076946578
14,2022-10-26 08:17:34.936000+00:00,-0.0488976836204528,27.875,-2.02362823486328,29.4375,-1.57418835163116,29.4375,-0.459635257720947,32.25,0.0923697128891944,32.375,0.0314100719988346,32.125,0.0,0.0,-0.000265061215031892,5.33277726747646e-21,-4.22552103716286e-32,0.0,0.0831531286239624,1,0,False,-0.6637616238246351,30.583333333333332,-4.4176869171982e-05
15,2022-10-26 08:17:35.950000+00:00,0.298313319683074,27.875,-1.75552642345428,29.375,-0.730017900466919,29.5,-0.83985149860382,32.25,-0.14594092965126,32.375,0.184525415301322,32.125,0.18175683915615,-0.0368991009891033,0.031121889129281,-0.401681661605834,0.0160146169364452,0.208911523222923,0.0869722962379455,1,0,False,-0.4980830028653138,30.583333333333332,-0.0001293156916896826
16,2022-10-26 08:17:36.954000+00:00,-0.0902507901191711,27.875,-1.67521357536315,29.375,-0.7911878824234,29.5,-0.696012139320373,32.1875,-0.124836757779121,32.375,-0.0206533409655094,32.125,0.0,0.0,0.0,0.0,0.0,5.77902610530145e-05,0.087651789188385,1,0,False,-0.5663590809951208,30.572916666666668,9.631710175502417e-06
17,2022-10-26 08:17:37.954000+00:00,-0.0569290667772293,27.875,-1.60693621635437,29.4375,-0.767417550086975,29.4375,-0.652659654617309,32.25,-0.17290636897087,32.4375,0.0252373553812503,32.125,0.0,0.0017609876813367,0.0,-0.00152060843538492,0.0,0.0,0.172946810722351,1,0,False,-0.5386019169042505,30.59375,4.0063207658629996e-05
18,2022-10-26 08:17:38.964000+00:00,-0.0755977928638458,27.875,-4.540940284729,29.4375,-3.57716703414917,29.5,-1.12429690361022,32.25,0.00814955215901136,32.375,-0.140795201063156,32.125,-0.294959306716918,-0.00741931470111012,-0.0612916275858879,0.963651299476623,-0.0352229885756969,-0.707988858222961,0.0864649415016174,1,0,False,-1.5751079440427302,30.59375,-0.023871799387658488
19,2022-10-26 08:17:39.964000+00:00,0.565559923648834,27.875,-2.89270639419555,29.4375,-0.898230552673339,29.5,-0.578501045703887,32.25,0.877194166183471,32.375,-0.0136818084865808,32.125,0.00101221504155546,0.00712660746648907,2.57779073715209,-0.536637425422668,7.46452060411684e-05,0.665149807929992,0.083918809890747,1,0,False,-0.4900609518711754,30.59375,0.45241943122891665
20,2022-10-26 08:17:40.967000+00:00,-0.177748024463653,27.9375,-2.96066641807556,29.4375,-1.93753981590271,29.5,-0.132591009140014,32.25,0.250593960285186,32.4375,0.220356836915016,32.125,-0.0219503846019506,0.0094801876693964,0.00768015068024396,0.0841713771224021,0.0428106226027011,-0.109235197305679,0.083239197731018,1,1,False,-0.7895990783969559,30.614583333333332,0.0021594593611856602
21,2022-10-26 08:17:41.975000+00:00,-0.161906525492668,27.875,-1.92220163345336,29.4375,-1.39989161491394,29.5,-0.582863390445709,32.25,-0.000423390069045126,32.4375,0.143993318080902,32.125,0.0,0.0,4.62662574136629e-05,0.0,0.0,0.0,0.083918809890747,1,1,False,-0.6538822060489701,30.604166666666668,7.71104290227715e-06
22,2022-10-26 08:17:42.989000+00:00,-0.132234692573547,27.875,-2.05655264854431,29.4375,-1.35330116748809,29.5,-0.586860656738281,32.25,-0.040784765034914,32.375,0.110979378223419,32.125,-1.40129846432481e-45,3.86979372157814e-11,0.0,0.0,0.0,0.0,0.0966494679450988,1,1,False,-0.6764590920259539,30.59375,6.449656202630234e-12
23,2022-10-26 08:17:43.990000+00:00,-0.13334435224533,27.875,-2.10252428054809,29.4375,-1.3349050283432,29.5,-0.570557653903961,32.25,-0.0234022699296474,32.375,0.0756751149892807,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0851057171821594,1,1,False,-0.6815097449968247,30.604166666666668,0.0
24,2022-10-26 08:17:45.005000+00:00,-0.1329777687788,27.9375,-2.09583115577697,29.4375,-1.33627772331237,29.5,-0.573531746864318,32.25,-0.036635223776102,32.4375,0.0947169810533523,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0908775925636291,1,1,False,-0.6800894395758679,30.625,0.0
25,2022-10-26 08:17:46.006000+00:00,-0.148091956973075,27.9375,-2.08482122421264,29.4375,-1.33377957344055,29.5,-0.569730162620544,32.25,-0.0231773518025875,32.4375,0.0621560811996459,32.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0875657200813293,1,0,False,-0.682907364641625,30.625,0.0
